qid,question,doc_id,gold_para_ids,retrieved_top3,hit@1,hit@3,hit@10,p@1,p@3,p@10,mrr@10,ndcg@10,latency_ms
gutenberg_1342_q1,"According to the opening sentence of the novel, what is a single man in possession of a good fortune universally acknowledged to be in want of?",gutenberg_1342,[7],"[('gutenberg_1342', 7), ('gutenberg_1342', 12), ('gutenberg_1342', 373)]",True,True,True,1.0,0.3333333333333333,0.1,1.0,1.0,41.480899904854596
gutenberg_1342_q2,Which of his daughters does Mr. Bennet appreciate the most due to her quickness?,gutenberg_1342,[12],"[('gutenberg_1342', 709), ('gutenberg_1342', 836), ('gutenberg_1342', 156)]",False,False,False,0.0,0.0,0.0,0.0,0.0,31.3317000400275
gutenberg_1342_q3,Why did Darcy refuse to dance with Elizabeth at the ball?,gutenberg_1342,[26],"[('gutenberg_1342', 48), ('gutenberg_1342', 177), ('gutenberg_1342', 178)]",False,False,False,0.0,0.0,0.0,0.0,0.0,27.813599910587072
gutenberg_1342_q4,Why did Charlotte Lucas accept the proposal to marry Mr. Collins?,gutenberg_1342,[250],"[('gutenberg_1342', 255), ('gutenberg_1342', 251), ('gutenberg_1342', 834)]",False,False,False,0.0,0.0,0.0,0.0,0.0,27.01259998138994
gutenberg_1342_q5,What kind of report did Lady Catherine say had reached her two days earlier?,gutenberg_1342,[776],"[('gutenberg_1342', 355), ('gutenberg_1342', 320), ('gutenberg_1342', 788)]",False,False,False,0.0,0.0,0.0,0.0,0.0,28.311099973507226
1503.07589_q1,Which decay channels were used in the combined ATLAS and CMS data samples for the Higgs mass measurement?,1503.07589,[1],"[('1503.07589', 1), ('1503.07589', 63), ('1503.07589', 68)]",True,True,True,1.0,0.3333333333333333,0.1,1.0,1.0,30.629800050519407
1503.07589_q2,What integrated luminosities at 7 TeV and 8 TeV were analyzed for each experiment in Run 1?,1503.07589,[5],"[('1503.07589', 5), ('1503.07589', 0), ('1503.07589', 110)]",True,True,True,1.0,0.3333333333333333,0.1,1.0,1.0,30.517100007273257
1503.07589_q3,Why were only the H →γγ and H →ZZ →4ℓ channels used in the combination?,1503.07589,[7],"[('1503.07589', 7), ('1503.07589', 29), ('1503.07589', 19)]",True,True,True,1.0,0.3333333333333333,0.1,1.0,1.0,33.2977999933064
1503.07589_q4,What is the signal-to-background ratio in the H  -> ZZ  -> 4? channel?,1503.07589,[11],"[('2103.01955', 54), ('1503.07589', 11), ('1503.07589', 9)]",False,True,True,0.0,0.3333333333333333,0.1,0.5,0.6309297535714575,29.762099962681532
1503.07589_q5,What combined Higgs boson mass value is reported from the ATLAS and CMS data?,1503.07589,"[25, 69]","[('1503.07589', 1), ('1503.07589', 0), ('1503.07589', 24)]",False,False,False,0.0,0.0,0.0,0.0,0.0,30.59520001988858
